start_index,end_index,average_word_length,average_sentence_length,stopword_percentage,punctuation_percentage,syntactic_complexity,avg_internal_word_freq_class,avg_external_word_freq_class,plag_confidence,contains_plag
0,21,6.33333333333,2049.0,0.333333333333,0.0,0,6.0,9.0,0.416191061321,0
23,59,5.16666666667,2049.0,0.333333333333,0.0,0,5.66666666667,6.16666666667,0.391907218047,0
61,83,4.75,2049.0,0.5,0.0,0,5.75,7.5,0.384055974626,0
85,103,8.5,2049.0,0.0,0.0,0,8.0,14.5,0.476350676434,0
105,158,4.18181818182,2049.0,0.0,0.0754716981132,0,5.81818181818,12.1818181818,0.479453936127,0
160,164,4.0,2049.0,0.0,0.0,0,8.0,12.0,0.439547775817,0
167,179,5.5,2049.0,0.5,0.0,0,5.0,6.0,0.391453715852,0
181,190,4.0,31.0,0.5,0.333333333333,0,5.5,8.5,0.520410206769,0
194,336,3.51612903226,31.0,0.322580645161,0.056338028169,5,4.77419354839,8.90322580645,0.196122116155,0
340,468,3.51851851852,27.0,0.37037037037,0.03125,3,4.55555555556,6.96296296296,0.178048432037,0
472,607,3.77777777778,27.0,0.37037037037,0.0296296296296,6,4.81481481481,7.2962962963,0.140555040941,0
611,749,4.5,24.0,0.375,0.036231884058,2,5.125,7.625,0.153314087976,0
753,892,3.38709677419,31.0,0.354838709677,0.0503597122302,9,5.12903225806,8.41935483871,0.24363404451,0
896,1023,4.5,22.0,0.318181818182,0.0472440944882,2,4.95454545455,7.95454545455,0.173956031216,0
1027,1169,4.30769230769,26.0,0.307692307692,0.0492957746479,7,5.42307692308,8.76923076923,0.180881583563,0
1173,1301,3.55555555556,27.0,0.37037037037,0.03125,8,4.74074074074,8.48148148148,0.208053205947,0
1305,1441,3.25806451613,31.0,0.354838709677,0.0367647058824,7,4.16129032258,7.8064516129,0.230743591051,0
1445,1576,3.66666666667,13.5,0.296296296296,0.0458015267176,10,4.74074074074,7.96296296296,0.260032410165,0
1580,1714,4.77272727273,22.0,0.363636363636,0.0223880597015,3,5.27272727273,8.09090909091,0.167034055241,0
1718,1847,3.39285714286,28.0,0.535714285714,0.046511627907,6,4.5,6.25,0.228231114411,0
1851,1988,3.75,28.0,0.285714285714,0.043795620438,3,4.17857142857,8.64285714286,0.209815553037,0
1992,2120,3.48148148148,27.0,0.518518518519,0.0234375,2,4.7037037037,5.96296296296,0.226651697994,0
2124,2255,3.23333333333,21.3333333333,0.366666666667,0.0534351145038,8,4.63333333333,8.03333333333,0.242620671684,0
2258,2266,8.0,35.0,0.0,0.0,0,8.0,12.0,0.457845748304,0
2272,2314,5.14285714286,35.0,0.571428571429,0.0,0,3.71428571429,5.28571428571,0.304140749244,0
2319,2369,4.66666666667,35.0,0.444444444444,0.0,0,4.66666666667,6.66666666667,0.243926045215,0
2374,2429,5.22222222222,35.0,0.555555555556,0.0,0,5.11111111111,6.0,0.280192066961,0
2434,2439,5.0,35.0,0.0,0.0,0,7.0,16.0,0.469298590614,0
2442,2485,5.28571428571,35.0,0.571428571429,0.0232558139535,0,3.71428571429,5.28571428571,0.309833592777,0
2490,2612,3.42307692308,26.0,0.423076923077,0.0245901639344,4,4.26923076923,6.0,0.206310535268,0
2614,2628,4.66666666667,14.0,0.0,0.142857142857,0,1.33333333333,14.3333333333,0.903003797813,0
